2021-05-26 19:06:13,600 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:06:13,615 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-292-210.68098958333334.h5
2021-05-26 19:06:13,618 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:06:13,620 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:06:35,262 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:06:35,276 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-293-230.3060048421224.h5
2021-05-26 19:06:35,279 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:06:35,280 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:06:56,954 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:06:56,969 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-294-269.3114878336589.h5
2021-05-26 19:06:56,972 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:06:56,973 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:07:18,649 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:07:18,664 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-295-269.1015319824219.h5
2021-05-26 19:07:18,667 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:07:18,669 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:07:40,099 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:07:40,113 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-296-239.1385955810547.h5
2021-05-26 19:07:40,116 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:07:40,118 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:07:59,868 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:07:59,883 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-297-288.561284383138.h5
2021-05-26 19:07:59,885 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:07:59,887 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:08:22,191 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:08:22,206 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-298-237.6878916422526.h5
